host,guest,odds,result
萨克拉门托国王,俄克拉荷马雷霆,-2.5,赢

金州勇士,洛杉矶湖人,-17.5,赢

波士顿凯尔特人,圣安东尼奥马刺,2.5,输

奥兰多魔术,华盛顿奇才,1.5,输

底特律活塞,洛杉矶快船,6.5,赢

费城76人,芝加哥公牛,7.5,输

纽约尼克斯,夏洛特黄蜂,1.5,赢

克里夫兰骑士,达拉斯独行侠,-14.5,赢

印第安纳步行者,布鲁克林篮网队,-7.5,赢

犹他爵士,亚特兰大老鹰,-2.5,赢

密尔沃基雄鹿,多伦多猛龙,3.5,输

孟菲斯灰熊,迈阿密热火,-5.5,输

丹佛掘金,俄克拉荷马雷霆,1.5,输

菲尼克斯太阳,明尼苏达森林狼,1.5,输

波特兰开拓者,新奥尔良鹈鹕,-3.5,赢

萨克拉门托国王,休斯顿火箭,3.5,输

洛杉矶湖人,金州勇士,13.5,输

夏洛特黄蜂,纽约尼克斯,-6.5,输

华盛顿奇才,圣安东尼奥马刺,6.5,输

迈阿密热火,孟菲斯灰熊,1.5,输

俄克拉荷马雷霆,底特律活塞,-3.5,赢

金州勇士,明尼苏达森林狼,-13.5,输

费城76人,克里夫兰骑士,12.5,赢

菲尼克斯太阳,丹佛掘金,-1.5,输

印第安纳步行者,洛杉矶快船,10.5,赢

布鲁克林篮网队,萨克拉门托国王,3.5,输

奥兰多魔术,密尔沃基雄鹿,0.0,输

达拉斯独行侠,新奥尔良鹈鹕,4.5,赢

波特兰开拓者,休斯顿火箭,2.5,输

洛杉矶湖人,亚特兰大老鹰,4.5,赢

华盛顿奇才,萨克拉门托国王,-4.5,赢

纽约尼克斯,俄克拉荷马雷霆,0.0,输

迈阿密热火,波士顿凯尔特人,4.5,输

多伦多猛龙,费城76人,-14.5,赢

孟菲斯灰熊,夏洛特黄蜂,0.0,输

明尼苏达森林狼,犹他爵士,2.5,输

金州勇士,亚特兰大老鹰,-13.5,输

夏洛特黄蜂,底特律活塞,-3.5,输

布鲁克林篮网队,洛杉矶快船,10.5,赢

密尔沃基雄鹿,克里夫兰骑士,6.5,赢

新奥尔良鹈鹕,洛杉矶湖人,-5.5,赢

圣安东尼奥马刺,奥兰多魔术,-12.5,输

犹他爵士,休斯顿火箭,1.5,赢

波士顿凯尔特人,底特律活塞,-7.5,输

